id,name,domain,difficulty_level
py01,Python Syntax Basics,PythonDS,beginner
py02,Data Structures (lists/dicts/sets),PythonDS,beginner
py03,Functions and Modules,PythonDS,beginner
py04,OOP in Python,PythonDS,intermediate
py05,NumPy Fundamentals,PythonDS,intermediate
py06,Pandas Fundamentals,PythonDS,intermediate
py07,Data Cleaning and Preprocessing,PythonDS,intermediate
py08,Data Visualization (Matplotlib/Seaborn),PythonDS,intermediate
py09,Statistics Fundamentals,PythonDS,intermediate
py10,Probability Fundamentals,PythonDS,intermediate
py11,Linear Algebra for ML,PythonDS,intermediate
py12,Supervised Learning Basics,PythonDS,advanced
py13,Unsupervised Learning Basics,PythonDS,advanced
py14,Model Evaluation and Validation,PythonDS,advanced
py15,Feature Engineering,PythonDS,advanced
py16,Neural Network Fundamentals,PythonDS,advanced
py17,Deep Learning Frameworks (PyTorch/TF),PythonDS,advanced
py18,Model Deployment Basics,PythonDS,advanced
web01,HTML Fundamentals,WebDev,beginner
web02,CSS Fundamentals,WebDev,beginner
web03,JavaScript Basics,WebDev,beginner
web04,DOM Manipulation,WebDev,beginner
web05,JavaScript ES6+ Features,WebDev,intermediate
web06,Version Control with Git,WebDev,beginner
web07,Responsive Design,WebDev,intermediate
web08,Frontend Framework Basics (React),WebDev,intermediate
web09,State Management,WebDev,intermediate
web10,REST API Concepts,WebDev,intermediate
web11,Backend Basics (Node/Express),WebDev,intermediate
web12,Databases (SQL Fundamentals),WebDev,intermediate
web13,Authentication and Authorization,WebDev,advanced
web14,Testing (Unit/Integration),WebDev,advanced
web15,Deployment and Hosting Basics,WebDev,advanced
devops01,Linux Command Line Basics,DevOpsCloud,beginner
devops02,Networking Fundamentals,DevOpsCloud,beginner
devops03,Shell Scripting,DevOpsCloud,intermediate
devops04,Git and Version Control,DevOpsCloud,beginner
devops05,Containerization Basics (Docker),DevOpsCloud,intermediate
devops06,Cloud Provider Fundamentals (AWS/GCP/Azure),DevOpsCloud,intermediate
devops07,CI/CD Concepts,DevOpsCloud,intermediate
devops08,Infrastructure as Code Basics,DevOpsCloud,advanced
devops09,Container Orchestration Basics (Kubernetes),DevOpsCloud,advanced
devops10,Monitoring and Logging,DevOpsCloud,advanced
devops11,Security Fundamentals for Cloud,DevOpsCloud,advanced
